"","gene","cluster4"
"Aprt_1","Aprt_1",1
"ENSMUSG00000065915_1","ENSMUSG00000065915_1",1
"Vps9d1_1","Vps9d1_1",1
"Fanca","Fanca",1
"4732419C18Rik","4732419C18Rik",1
"4732419C18Rik_2","4732419C18Rik_2",1
"Egln1","Egln1",1
"Tsnax_1","Tsnax_1",1
"Ntpcr_1","Ntpcr_1",1
"Gm26397","Gm26397",1
"ENSMUSG00000090074_8","ENSMUSG00000090074_8",1
"ENSMUSG00000088580_1","ENSMUSG00000088580_1",1
"ENSMUSG00000088580_2","ENSMUSG00000088580_2",1
"ENSMUSG00000094530","ENSMUSG00000094530",1
"Casp1","Casp1",1
"Casp4","Casp4",1
"Maml2","Maml2",1
"AB124611","AB124611",1
"St14_1","St14_1",1
"ENSMUSG00000098645_1","ENSMUSG00000098645_1",1
"Fli1","Fli1",1
"ENSMUSG00000102184","ENSMUSG00000102184",1
"ENSMUSG00000089465_1","ENSMUSG00000089465_1",1
"Scn3b","Scn3b",1
"ENSMUSG00000087047_1","ENSMUSG00000087047_1",1
"Bsx","Bsx",1
"Crtam_1","Crtam_1",1
"ENSMUSG00000086360_1","ENSMUSG00000086360_1",1
"Tmprss4_1","Tmprss4_1",1
"Tmprss4_2","Tmprss4_2",1
"Sik3","Sik3",1
"Fdx1_1","Fdx1_1",1
"Cib2","Cib2",1
"Rcn2","Rcn2",1
"ENSMUSG00000102419_1","ENSMUSG00000102419_1",1
"Insyn1","Insyn1",1
"ENSMUSG00000052143_1","ENSMUSG00000052143_1",1
"Tle3","Tle3",1
"Tle3_6","Tle3_6",1
"ENSMUSG00000088986_2","ENSMUSG00000088986_2",1
"Rab11a_2","Rab11a_2",1
"Rab11a_3","Rab11a_3",1
"Slc24a1","Slc24a1",1
"Spg21","Spg21",1
"Aph1b","Aph1b",1
"Aph1b_1","Aph1b_1",1
"BC050972","BC050972",1
"Gm15511_1","Gm15511_1",1
"Gm15511_2","Gm15511_2",1
"Gm15511_3","Gm15511_3",1
"Gm15511_4","Gm15511_4",1
"Gm15511_5","Gm15511_5",1
"ENSMUSG00000089865","ENSMUSG00000089865",1
"Bcl2l10","Bcl2l10",1
"ENSMUSG00000092565","ENSMUSG00000092565",1
"Dop1a","Dop1a",1
"Dop1a_1","Dop1a_1",1
"Snap91_1","Snap91_1",1
"Trim43b","Trim43b",1
"Plscr5","Plscr5",1
"Plscr5_1","Plscr5_1",1
"Mir6386","Mir6386",1
"Dipk2a","Dipk2a",1
"Dipk2a_1","Dipk2a_1",1
"Dipk2a_5","Dipk2a_5",1
"Chst2","Chst2",1
"Pcolce2","Pcolce2",1
"Pls1_1","Pls1_1",1
"ENSMUSG00000100522_2","ENSMUSG00000100522_2",1
"Rasa2","Rasa2",1
"ENSMUSG00000102097","ENSMUSG00000102097",1
"C430002N11Rik_1","C430002N11Rik_1",1
"Gm23595","Gm23595",1
"AA543401_1","AA543401_1",1
"Klhl18","Klhl18",1
"Clasp2","Clasp2",1
"Clasp2_1","Clasp2_1",1
"Trim71_1","Trim71_1",1
"Rbms3","Rbms3",1
"ENSMUSG00000097240","ENSMUSG00000097240",1
